setup,window,accuracy,f1,retrained,latency_ms,retrain_count,drift_score
A,0,0.985,0.985,False,1570.86,,
A,1,0.9645,0.9645,False,1496.72,,
A,2,0.9685,0.9685,False,1493.66,,
A,3,0.8335,0.8313,False,1381.05,,
A,4,0.841,0.8389,False,1717.43,,
A,5,0.72,0.7041,False,1024.22,,
A,6,0.71,0.6957,False,792.6,,
A,7,0.578,0.5308,False,540.23,,
B,0,0.985,0.985,True,2046.56,1.0,
B,1,0.9645,0.9645,False,1978.35,1.0,
B,2,0.9865,0.9865,True,1855.19,2.0,
B,3,0.8325,0.8301,False,1404.45,2.0,
B,4,0.954,0.954,True,1468.42,3.0,
B,5,0.7555,0.7551,False,1205.89,3.0,
B,6,0.9315,0.9314,True,988.32,4.0,
B,7,0.669,0.669,False,443.59,4.0,
C,0,0.985,0.985,True,1742.07,1.0,0.001
C,1,0.9645,0.9645,False,2587.78,1.0,0.0175
C,2,0.9685,0.9685,False,2028.41,1.0,0.0171
C,3,0.8335,0.8313,False,1735.18,1.0,0.0606
C,4,0.841,0.8389,False,1764.44,1.0,0.0597
C,5,0.9245,0.9245,True,2141.66,2.0,0.1202
C,6,0.7605,0.7603,False,2020.98,2.0,0.0118
C,7,0.6725,0.6728,False,784.7,2.0,0.0641
